"Fecha","Hora","PVPC","Dia"
"2014/04/07","1",53.96599024,"lunes"
"2014/04/07","2",38.70970756,"lunes"
"2014/04/07","3",28.68592756,"lunes"
"2014/04/07","4",24.70030756,"lunes"
"2014/04/07","5",22.74550756,"lunes"
"2014/04/07","6",32.97562756,"lunes"
"2014/04/07","7",49.42852756,"lunes"
"2014/04/07","8",57.07767024,"lunes"
"2014/04/07","9",59.78895024,"lunes"
"2014/04/07","10",62.15703024,"lunes"
"2014/04/07","11",58.81655024,"lunes"
"2014/04/07","12",56.08239024,"lunes"
"2014/04/07","13",55.53327024,"lunes"
"2014/04/07","14",123.66357208,"lunes"
"2014/04/07","15",123.19289208,"lunes"
"2014/04/07","16",123.30769208,"lunes"
"2014/04/07","17",123.43397208,"lunes"
"2014/04/07","18",124.99525208,"lunes"
"2014/04/07","19",124.05389208,"lunes"
"2014/04/07","20",125.38557208,"lunes"
"2014/04/07","21",139.02381208,"lunes"
"2014/04/07","22",139.49449208,"lunes"
"2014/04/07","23",129.57577208,"lunes"
"2014/04/07","24",54.42359024,"lunes"
"2014/04/08","1",54.05751024,"martes"
"2014/04/08","2",45.55150756,"martes"
"2014/04/08","3",42.49984756,"martes"
"2014/04/08","4",43.83562756,"martes"
"2014/04/08","5",40.69708756,"martes"
"2014/04/08","6",40.58848756,"martes"
"2014/04/08","7",48.27736756,"martes"
"2014/04/08","8",60.82999024,"martes"
"2014/04/08","9",62.17991024,"martes"
"2014/04/08","10",61.44775024,"martes"
"2014/04/08","11",61.89391024,"martes"
"2014/04/08","12",59.33135024,"martes"
"2014/04/08","13",56.43703024,"martes"
"2014/04/08","14",124.29497208,"martes"
"2014/04/08","15",122.01045208,"martes"
"2014/04/08","16",121.80381208,"martes"
"2014/04/08","17",120.97725208,"martes"
"2014/04/08","18",121.65457208,"martes"
"2014/04/08","19",120.21957208,"martes"
"2014/04/08","20",123.38805208,"martes"
"2014/04/08","21",131.99805208,"martes"
"2014/04/08","22",133.11161208,"martes"
"2014/04/08","23",122.71073208,"martes"
"2014/04/08","24",46.73591024,"martes"
"2014/04/09","1",44.12759024,"miércoles"
"2014/04/09","2",29.67418756,"miércoles"
"2014/04/09","3",28.06690756,"miércoles"
"2014/04/09","4",29.04430756,"miércoles"
"2014/04/09","5",28.14292756,"miércoles"
"2014/04/09","6",28.40356756,"miércoles"
"2014/04/09","7",38.24272756,"miércoles"
"2014/04/09","8",50.11071024,"miércoles"
"2014/04/09","9",54.13759024,"miércoles"
"2014/04/09","10",57.74119024,"miércoles"
"2014/04/09","11",57.79839024,"miércoles"
"2014/04/09","12",56.39127024,"miércoles"
"2014/04/09","13",56.17391024,"miércoles"
"2014/04/09","14",125.48889208,"miércoles"
"2014/04/09","15",124.03093208,"miércoles"
"2014/04/09","16",124.20313208,"miércoles"
"2014/04/09","17",123.56025208,"miércoles"
"2014/04/09","18",124.42125208,"miércoles"
"2014/04/09","19",122.29745208,"miércoles"
"2014/04/09","20",122.28597208,"miércoles"
"2014/04/09","21",137.77249208,"miércoles"
"2014/04/09","22",137.55437208,"miércoles"
"2014/04/09","23",125.00673208,"miércoles"
"2014/04/09","24",52.22711024,"miércoles"
"2014/04/10","1",51.18607024,"jueves"
"2014/04/10","2",42.72790756,"jueves"
"2014/04/10","3",38.56852756,"jueves"
"2014/04/10","4",39.71968756,"jueves"
"2014/04/10","5",39.62194756,"jueves"
"2014/04/10","6",40.28440756,"jueves"
"2014/04/10","7",47.05018756,"jueves"
"2014/04/10","8",53.33679024,"jueves"
"2014/04/10","9",56.29975024,"jueves"
"2014/04/10","10",56.16247024,"jueves"
"2014/04/10","11",53.00503024,"jueves"
"2014/04/10","12",49.92767024,"jueves"
"2014/04/10","13",49.90479024,"jueves"
"2014/04/10","14",118.48609208,"jueves"
"2014/04/10","15",117.67101208,"jueves"
"2014/04/10","16",118.57793208,"jueves"
"2014/04/10","17",117.82025208,"jueves"
"2014/04/10","18",118.64681208,"jueves"
"2014/04/10","19",117.99245208,"jueves"
"2014/04/10","20",117.47585208,"jueves"
"2014/04/10","21",129.18545208,"jueves"
"2014/04/10","22",132.46873208,"jueves"
"2014/04/10","23",121.11501208,"jueves"
"2014/04/10","24",49.55015024,"jueves"
"2014/04/11","1",46.12959024,"viernes"
"2014/04/11","2",39.16582756,"viernes"
"2014/04/11","3",35.79922756,"viernes"
"2014/04/11","4",40.23010756,"viernes"
"2014/04/11","5",39.13324756,"viernes"
"2014/04/11","6",39.07894756,"viernes"
"2014/04/11","7",42.83650756,"viernes"
"2014/04/11","8",48.30319024,"viernes"
"2014/04/11","9",50.44247024,"viernes"
"2014/04/11","10",53.78295024,"viernes"
"2014/04/11","11",50.96871024,"viernes"
"2014/04/11","12",49.64167024,"viernes"
"2014/04/11","13",45.56903024,"viernes"
"2014/04/11","14",113.74485208,"viernes"
"2014/04/11","15",112.72313208,"viernes"
"2014/04/11","16",112.04581208,"viernes"
"2014/04/11","17",109.38245208,"viernes"
"2014/04/11","18",109.31357208,"viernes"
"2014/04/11","19",109.21025208,"viernes"
"2014/04/11","20",111.18481208,"viernes"
"2014/04/11","21",117.76285208,"viernes"
"2014/04/11","22",119.77185208,"viernes"
"2014/04/11","23",112.01137208,"viernes"
"2014/04/11","24",42.51455024,"viernes"
"2014/04/12","1",39.72319024,"sábado"
"2014/04/12","2",26.37274756,"sábado"
"2014/04/12","3",22.62604756,"sábado"
"2014/04/12","4",23.16904756,"sábado"
"2014/04/12","5",24.66772756,"sábado"
"2014/04/12","6",24.85234756,"sábado"
"2014/04/12","7",25.21072756,"sábado"
"2014/04/12","8",31.25759024,"sábado"
"2014/04/12","9",28.66071024,"sábado"
"2014/04/12","10",29.69031024,"sábado"
"2014/04/12","11",27.68831024,"sábado"
"2014/04/12","12",27.52815024,"sábado"
"2014/04/12","13",28.18023024,"sábado"
"2014/04/12","14",96.21489208,"sábado"
